outlet_id,month_id,overall_management_signal_score_0_100,commercial_strength_score_0_100,operational_control_score_0_100,team_health_score_0_100,growth_ready_flag,leakage_risk_flag,team_strain_risk_flag,story_label,management_priority_rank,primary_management_issue,recommended_manager_action,portfolio_headline,executive_summary_1line
MLT_OUTLET_001,2017-01,75.20446747072276,75.20446747072276,75.20446747072276,83.89117434117648,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2017-02,61.39544286863904,61.39544286863904,61.39544286863904,74.27808109215687,0,0,1,team-strain / burnout-risk,1,workforce strain,"Stabilize roster, reduce overtime strain, rebalance coverage, and protect service reliability before pushing growth.",Outlet requires team stabilization before further commercial pressure.,MLT_OUTLET_001 | team-strain / burnout-risk | Outlet requires team stabilization before further commercial pressure.
MLT_OUTLET_001,2017-03,75.07234939428953,75.07234939428953,75.07234939428953,83.89514371176472,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2017-04,74.46496096631893,74.46496096631893,74.46496096631893,84.96115977058824,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2017-05,75.06122345334447,75.06122345334447,75.06122345334447,85.48958119999999,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2017-06,74.93530973094227,74.93530973094227,74.93530973094227,87.02427119411765,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2017-07,61.725234172809685,61.725234172809685,61.725234172809685,65.4742560751633,0,0,1,team-strain / burnout-risk,1,workforce strain,"Stabilize roster, reduce overtime strain, rebalance coverage, and protect service reliability before pushing growth.",Outlet requires team stabilization before further commercial pressure.,MLT_OUTLET_001 | team-strain / burnout-risk | Outlet requires team stabilization before further commercial pressure.
MLT_OUTLET_001,2017-08,61.83589323055827,61.83589323055827,61.83589323055827,73.38152470980393,0,0,1,team-strain / burnout-risk,1,workforce strain,"Stabilize roster, reduce overtime strain, rebalance coverage, and protect service reliability before pushing growth.",Outlet requires team stabilization before further commercial pressure.,MLT_OUTLET_001 | team-strain / burnout-risk | Outlet requires team stabilization before further commercial pressure.
MLT_OUTLET_001,2017-09,72.83761449793968,72.83761449793968,72.83761449793968,84.74496631176471,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2017-10,74.60932107338812,74.60932107338812,74.60932107338812,82.89601574705883,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2017-11,75.30986091576277,75.30986091576277,75.30986091576277,81.76511321764706,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2017-12,60.54090855118211,60.54090855118211,60.54090855118211,68.94903391959159,0,0,1,team-strain / burnout-risk,1,workforce strain,"Stabilize roster, reduce overtime strain, rebalance coverage, and protect service reliability before pushing growth.",Outlet requires team stabilization before further commercial pressure.,MLT_OUTLET_001 | team-strain / burnout-risk | Outlet requires team stabilization before further commercial pressure.
MLT_OUTLET_001,2018-01,74.28898616725581,74.28898616725581,74.28898616725581,83.68398354117647,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2018-02,74.48058576108102,74.48058576108102,74.48058576108102,84.55452315294117,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2018-03,74.18213415844394,74.18213415844394,74.18213415844394,82.9162126764706,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2018-04,73.22304159325162,73.22304159325162,73.22304159325162,82.73444182352941,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
MLT_OUTLET_001,2018-05,75.40407337810015,75.40407337810015,75.40407337810015,85.0690727235294,1,0,0,growth-ready,3,selective growth execution,"Push selective pricing optimization, premium mix, upsell execution, and targeted commercial activation.",Outlet is positioned for selective commercial expansion.,MLT_OUTLET_001 | growth-ready | Outlet is positioned for selective commercial expansion.
